n,sigma,best_train_degree,best_cv_degree,best_eout_degree,overfit_gap_at_D,median_max_abs_w_at_D
10,0.0,8,7,8,0.00039253393430616654,5.1650669838274
20,0.0,8,7,7,2.241285433601341e-05,5.155166679811337
40,0.0,8,7,7,2.7949922424238676e-07,5.147347277380567
80,0.0,8,7,7,4.428343272813544e-08,5.143539238150863
10,0.3,8,1,1,37291336.33414317,609.9440056684962
20,0.3,8,3,3,178.4451435609049,51.62753727199014
40,0.3,8,3,3,0.09506734120223255,21.20733531206604
80,0.3,8,3,3,0.024122802197648688,12.199405953575676
10,0.6,8,1,1,525217180.40066683,2121.6156595279235
20,0.6,8,3,3,12898.019464613684,111.34098339556115
40,0.6,8,3,3,3.5162401040968256,51.384490562572665
80,0.6,8,3,3,0.08869418738833468,28.86478461806357
