noise,n,degree,train_mse,train_rmse,cv_mse,cv_rmse
noiseless,10,1,0.21296557697834517,0.46148193570100354,0.367982020106763,0.6066152158549627
noiseless,10,3,0.005313778449788211,0.07289566825119453,0.03611502511309896,0.19003953565797554
noiseless,10,8,3.219733394502215e-10,1.7943615562372638e-05,3.172578058789067e-05,0.005632564299490124
noiseless,20,1,0.20027475036343403,0.4475206703197452,0.25567298400449545,0.5056411613036418
noiseless,20,3,0.00470696580914871,0.06860733057879974,0.011000662623438504,0.1048840437027411
noiseless,20,8,1.1616925053501504e-08,0.00010778184009146208,1.1399390685485929e-06,0.0010676792910554148
noiseless,40,1,0.19709636245280962,0.4439553608785568,0.2111902993427223,0.4595544574288474
noiseless,40,3,0.004474910190631226,0.0668947695311915,0.0063655896067894985,0.07978464518182367
noiseless,40,8,2.0548261268945197e-08,0.00014334664721905844,1.4177613238519476e-07,0.0003765317149792229
noiseless,80,1,0.19630144795565307,0.443059192383651,0.20993917859012043,0.4581912030911554
noiseless,80,3,0.0044116669964282115,0.06642038088138467,0.00518438536321234,0.07200267608368692
noiseless,80,8,2.346569017957389e-08,0.00015318514999690372,5.039671047663618e-08,0.00022449211673605864
noisy,10,1,0.3280985279515151,0.5727988547051357,0.5599894931873386,0.7483244571623585
noisy,10,3,0.0513237422200466,0.22654743922641588,0.18322851218673478,0.4280519970596268
noisy,10,8,0.0036800130000822833,0.0606631107023229,362.6116665299663,19.04236504560204
noisy,20,1,0.18627313143609026,0.43159371107106076,0.24378824088687062,0.49374916798600343
noisy,20,3,0.07396194636516075,0.2719594572085346,0.14919978762298305,0.3862638834048338
noisy,20,8,0.037472121077057496,0.19357717085714807,0.7748536621921723,0.8802577248693546
noisy,40,1,0.2964495173648822,0.5444717782997409,0.3257901638127897,0.5707803113394765
noisy,40,3,0.08579216330096869,0.292902992987386,0.10210034295635237,0.31953144282895285
noisy,40,8,0.07388113878321213,0.271810851113807,0.15086013011815627,0.3884071705287587
noisy,80,1,0.24904915703255198,0.4990482512067866,0.2635763352519014,0.513396859409854
noisy,80,3,0.07490683061676215,0.273691122648803,0.08465619248675745,0.2909573722845968
noisy,80,8,0.06644345589322333,0.25776628152887515,0.0887520386930343,0.29791280384205426
